GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 1.b
Created: Fri Sep 29 18:38:03 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Ga69,436.60,448.71,36.61,37.19,79.85,0.027,0.0858,0.1396,0.0888,-0.058,0.218,0.1534,0.252,0.0784,0.1586,0.867,0.1212,446.50,446.61,37.05,36.74,73.01,0.0427,0.0794
Sr88,511.61,517.99,77.96,78.86,330.49,0.0032,0.0107,0.0421,0.1400,0.0379,1.724,0.865,0.1122,0.0221,0.0301,2.493,0.0361,513.06,506.59,78.33,78.43,330.46,0.00074,0.0043
Y89,457.77,461.19,38.18,38.39,28.73,0.0426,0.0598,0.0306,0.0481,0.0337,0.0321,0.0459,0.0364,0.0547,0.0337,0.0829,0.0503,469.15,471.35,38.88,37.76,29.00,0.0286,0.0401
Zr90,436.60,446.28,37.57,38.26,157.50,0.039,0.0442,0.0406,0.0455,0.0561,0.523,0.254,0.0792,0.0562,0.0610,0.957,0.0515,440.40,441.20,37.60,38.17,156.16,0.068,0.032
Nb93,464.27,463.65,39.14,38.66,12.87,0.0048,0.0030,0.0039,0.0039,-0.0906,0.176,0.1255,0.0183,0.0050,0.0088,2.063,0.0165,467.10,467.26,38.95,38.87,12.95,0.0011,0.0054
Ba135,442.19,444.66,39.67,38.98,686.65,0.038,0.015,0.042,3.98,3.49,1.99,1.37,0.091,-0.027,0.013,9.75,0.005,436.77,436.93,38.13,40.52,666.78,-0.007,-0.052
Ba137,440.50,446.11,39.26,39.36,686.50,0.0089,0.0216,0.0067,0.036,0.153,1.84,1.283,0.098,0.0047,0.035,9.28,0.0174,447.35,447.69,38.78,39.80,676.98,-0.018,-0.006
La139,431.53,436.11,35.95,36.04,23.43,-0.0057,-0.0024,0.0015,-0.0019,-0.0069,0.178,0.0727,0.0163,-0.0029,0.0034,1.594,0.0134,437.41,441.58,36.12,35.88,23.03,0.0037,0.0003
Ce140,449.23,455.53,38.23,38.57,52.08,0.0021,-0.0024,0.0039,0.0069,-0.0123,0.532,0.262,0.0377,0.0094,0.0128,4.96,0.0979,459.45,459.60,38.62,38.18,51.17,-0.0010,0.0036
Gd157,443.04,444.05,37.31,37.28,5.78,0.0185,0.0032,0.0016,-0.0052,-0.027,0.0154,0.0134,0.0074,0.0163,0.0090,0.070,0.0073,444.59,445.39,37.49,37.12,5.88,0.0214,0.0102
Yb172,468.19,468.70,39.64,38.76,3.11,0.0096,0.0062,0.0053,0.0109,-0.080,0.0030,0.0113,0.0069,0.0075,0.0065,0.0075,0.0076,463.43,464.83,39.24,39.19,2.75,-0.0033,0.0052

GLITTER!: Trace Element Concentrations LOQ filtered.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,471.16,475.50,40.17,40.22,10.08,1.85,2.335,2.713,2.873,2.951,4.80,3.25,2.793,2.790,2.616,2.483,2.731,475.22,476.28,40.33,40.07,9.50,1.749,2.437
