GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 1.b
Created: Fri Sep 29 17:42:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Cu63,2.894,2.948,0.2392,0.2436,0.1250,0.00626,0.0309,0.02230,0.01894,0.01909,0.02595,0.02096,0.02008,0.01986,0.02248,0.0310,0.01667,3.013,3.029,0.2506,0.2484,0.1250,0.00714,0.0289
Zn66,0.648,0.665,0.0530,0.0548,0.2706,0.0918,0.1094,0.1543,0.1508,0.1591,0.1802,0.1646,0.1594,0.1580,0.1601,0.1422,0.1628,0.719,0.715,0.0591,0.0593,0.2706,0.0929,0.1089
Zn67,0.521,0.532,0.0451,0.0447,0.2706,0.0673,0.0804,0.1165,0.1117,0.1204,0.1280,0.1224,0.1218,0.1180,0.1226,0.1114,0.1202,0.579,0.594,0.0502,0.0499,0.2706,0.0697,0.0854
Ga69,8.20,8.47,0.691,0.706,1.513,0.00055,0.00177,0.00290,0.00185,-0.00120,0.00458,0.00323,0.00535,0.00167,0.00339,0.01860,0.00261,9.15,9.20,0.764,0.762,1.513,0.00094,0.00176
Sr88,44.96,45.52,6.82,6.90,28.74,0.00030,0.00100,0.00395,0.01311,0.00354,0.1611,0.0807,0.01046,0.00206,0.00280,0.2317,0.00335,45.09,44.52,6.86,6.86,28.74,0.00007,0.00040
Y89,250.96,252.70,20.82,20.93,15.56,0.0249,0.0349,0.0178,0.0280,0.0195,0.0186,0.0266,0.0211,0.0316,0.0194,0.0477,0.0289,254.85,255.91,21.01,20.39,15.56,0.0163,0.0228
Zr90,92.84,94.95,7.96,8.12,33.21,0.0088,0.0101,0.0092,0.0103,0.0128,0.1188,0.0577,0.0180,0.0127,0.0138,0.2168,0.0117,94.46,94.68,8.04,8.16,33.21,0.0154,0.0072
Nb93,1217.10,1215.05,102.09,100.81,33.33,0.0133,0.0085,0.0110,0.0108,-0.252,0.490,0.348,0.0507,0.0139,0.0243,5.69,0.0454,1217.06,1217.05,100.98,100.76,33.33,0.0031,0.0146
Ba135,129.41,130.36,11.60,11.42,200.29,0.0121,0.0047,0.0131,1.260,1.104,0.632,0.435,0.0290,-0.0086,0.0042,3.10,0.0017,131.68,131.96,11.49,12.23,200.29,-0.0023,-0.0165
Ba137,129.43,131.19,11.51,11.55,200.29,0.0028,0.0068,0.0021,0.0115,0.048,0.579,0.404,0.0308,0.0015,0.0110,2.920,0.0055,133.31,133.52,11.53,11.84,200.29,-0.0056,-0.0020
La139,1247.58,1262.14,103.72,104.09,67.30,-0.018,-0.0074,0.0047,-0.0059,-0.0213,0.554,0.226,0.0506,-0.0089,0.0107,4.95,0.0417,1286.43,1299.95,105.99,105.39,67.30,0.0114,0.0010
Ce140,483.39,490.70,41.05,41.46,55.69,0.0024,-0.0027,0.0046,0.0079,-0.0142,0.615,0.303,0.0436,0.0109,0.0148,5.74,0.1132,503.32,503.99,42.22,41.77,55.69,-0.0011,0.0042
Gd157,1703.49,1705.76,142.59,142.33,21.93,0.075,0.013,0.006,-0.021,-0.110,0.063,0.054,0.030,0.066,0.036,0.282,0.029,1682.41,1683.88,141.00,139.51,21.93,0.085,0.040
Yb172,2020.02,2036.23,172.69,170.00,13.67,0.046,0.030,0.026,0.053,-0.392,0.015,0.056,0.034,0.038,0.033,0.038,0.039,2256.33,2279.87,193.09,194.28,13.67,-0.018,0.028

GLITTER!: Mean Raw CPS background NOT subtracted.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,    940892,    939357,     65193,     65857,    21802,      7841,      9374,     15906,     13026,     16849,     25131,     17554,     17131,     17086,     15508,     14948,     16040,    825510,    845886,     55186,     54017,    19971,      7654,      8974
B11,    185564,    183051,     25836,     25777,    15345,     19407,     20354,     25275,     18870,     23599,     22861,     20313,     21802,     21080,     19811,     20210,     19674,    149396,    150913,     16173,     15488,     9238,      9716,     10424
Na23, 190824016, 190964640, 145476144, 146466832, 40829996,    104746,    230288,    502870,    351082,    515146,    751082,    578795,    506276,    510447,    467832,    565916,    446809, 170759760, 170139472, 121414176, 118900784, 37317492,     98704,    206928
Mg24,    425105,    415017,     44174,     44669, 17524380, 278230560, 298853792, 568164736, 412782048, 571641984, 566188288, 526422464, 595730944, 589539712, 552841536, 575148416, 572777600,    349380,    356907,     35906,     35697, 16007422, 247901904, 262340704
Mg25,     54476,     54162,      5551,      5382,  2226699,  36388636,  39569464,  74551936,  54128948,  74320248,  74417576,  69492856,  77697064,  77911920,  72049528,  76230720,  74212936,     44869,     45749,      4480,      4235,  1972973,  32486124,  34205236
Mg26,     61552,     62051,      7414,      7509,  2555053,  40604528,  44222584,  82280040,  61063916,  82265744,  82302688,  76698216,  85739016,  85681880,  80082536,  84649352,  81688656,     51370,     52303,      5918,      6024,  2240393,  36545240,  38176780
Al27,   7783341,   7733495,   6302443,   6354773, 50504548,     51577,    110355,    157369,     94966,    138355,    147614,    126418,    313299,    116864,    162428,    287759,    167816,   6566086,   6637256,   5055605,   4951649, 46844936,     46693,     97580
Si29,   5220329,   5206447,   4143736,   4154287,  3828441,   2953111,   3241556,   6361631,   4625580,   6268829,   6453330,   6055209,   6724380,   6754722,   6235079,   6414649,   6352697,   4504705,   4583232,   3361461,   3312985,  3499078,   2679330,   2816963
Si30,   5130090,   5042226,   4290430,   4296985,  4032276,   3416592,   3623387,   5515641,   4393326,   5580382,   5697723,   5319416,   5800460,   5806602,   5468336,   5554601,   5580846,   4206729,   4247780,   3406945,   3365038,  3481268,   2919063,   3035455
P31,     54205,     54485,     13770,     13364,   151237,     11163,     12006,     20452,     16419,     22058,     32070,     21116,     22121,     21680,     19499,     14807,     19972,     45549,     45326,     10317,     10365,   131860,      8792,      9666
Ca43,    132883,    131298,    104760,    105723,    71375,       774,      1070,      4670,      4331,      4867,      4698,      5150,      5313,      6520,      4949,      3535,      6785,    113592,    116051,     85428,     84086,    66614,       670,       881
Ca44,   2124213,   2111718,   1672339,   1690713,  1123160,     27387,     33373,     98254,     86977,    100485,     99576,    102723,    110048,    129589,    100531,     80236,    128136,   1823747,   1850104,   1366723,   1335654,  1044533,     22540,     27367
Sc45,    388169,    380798,     30033,     30228,    26814,      6376,      5793,     10482,      8248,     10678,     10445,     10075,     11037,     11318,     10292,      9348,     11061,    333959,    340563,     23276,     22858,    23440,      4597,      4120
Ti47,     30912,     30359,      2145,      2239,   810279,       455,      2705,     17780,     12270,     17220,     18491,     16842,     31827,     17690,     18461,     44253,     23746,     26089,     26541,      1744,      1784,   764499,       417,      2309
Ti49,     23693,     23219,      1714,      1654,   618527,       338,      1926,     13560,      9306,     13222,     14341,     12628,     24627,     13734,     13879,     33410,     18132,     20243,     20562,      1364,      1311,   589108,       250,      1760
V51,    466592,    469866,     29778,     30128,   397149,      3203,      6655,      5832,      2959,      5047,      7436,      5401,     11435,      4162,      5980,      8326,      5308,    407708,    410887,     24183,     23848,   362877,      2830,      5717
Cr53,     44407,     44447,      3085,      3094,     1573,     14167,     28939,     91464,     39059,     70755,    123130,     63895,    300197,     60005,    117298,    114180,    103079,     36591,     37079,      2456,      2432,     1473,     12339,     24201
Mn55,    532267,    526126,     37603,     38089,  1640961,   1218965,   1160304,   4458696,   3440690,   4580217,   4426366,   4756458,   5005778,   5305163,   4559520,   3379709,   5124841,    439193,    451402,     29769,     29214,  1442424,   1072381,    971004
Co59,    399319,    399728,     25391,     25491,    33086,    134107,    151219,    319242,    223368,    313823,    321514,    307674,    332803,    326645,    302860,    301621,    306810,    329124,    334111,     19777,     19283,    28642,    117288,    124635
Ni60,     99238,     99943,      6357,      6322,     2408,    645397,    726136,    907226,    537814,    869967,    811046,    793373,    819924,    727149,    796675,   1296066,    634800,     80806,     82835,      4784,      4703,     2112,    547941,    598116
Ni62,     14823,     14691,       921,       950,      473,     94125,    107265,    136503,     79894,    126580,    121040,    116183,    120679,    108328,    115922,    190032,     94066,     12021,     12004,       710,       657,      378,     80155,     88467
Cu63,    270342,    270619,     16860,     17229,     9948,       508,      2751,      3969,      2437,      3847,      4623,      3478,      3699,      3626,      3799,      5229,      2830,    218817,    223463,     13102,     12696,     8432,       496,      2043
Zn66,     93267,     94231,      5795,      6021,    33424,     11473,     14976,     42703,     30144,     43067,     50243,     42930,     46094,     45496,     42490,     38011,     43776,     83153,     84131,      4958,      4871,    29292,     10109,     12402
Zn67,     15049,     15117,       982,       987,     6657,      1692,      2183,      6382,      4413,      6445,      7025,      6283,      6896,      6650,      6360,      5805,      6292,     12988,     13526,       817,       787,     5628,      1457,      1862
Ga69,    453493,    459937,     28793,     29468,    71042,        39,        98,       305,       140,       248,       480,       314,       586,       189,       341,      1842,       264,    387607,    395565,     23243,     22634,    59251,        44,        77
Sr88,    568117,    569064,     65866,     67284,   317493,         3,        13,        99,       238,        97,      4137,      1947,       281,        60,        72,      5844,        85,    496962,    501903,     55079,     54293,   302228,         0,         5
Y89,    465155,    463187,     29463,     29889,    25162,        40,        63,        66,        78,        70,        69,        93,        82,       123,        73,       175,       107,    409089,    420003,     24570,     23460,    23786,        30,        36
Zr90,    212178,    214634,     13901,     14306,    66295,        24,        22,        41,        34,        61,       556,       251,        89,        65,        68,       987,        53,    187612,    192304,     11640,     11632,    62885,        33,        22
Nb93,    420806,    415486,     26957,     26869,    10067,         4,         5,        12,         9,        14,       343,       229,        39,        12,        18,      3906,        31,    365050,    373272,     22069,     21671,     9529,         4,         5
Ba135,     41181,     41034,      2819,      2807,    55664,         3,         1,         9,       579,       693,       407,       267,        19,         0,         7,      1964,         5,     36398,     37299,      2314,      2426,    52770,         0,         0
Ba137,     70466,     70673,      4787,      4860,    95380,         1,         3,         4,         9,       123,       643,       420,        38,         1,        14,      3182,         8,     63458,     65027,      4009,      4051,    91015,         1,         4
La139,    471541,    472000,     29956,     30364,    22248,         0,         1,         4,         3,         4,       425,       163,        42,         0,         7,      3737,        31,    424778,    439084,     25514,     24983,    21211,         3,         4
Ce140,    614264,    616987,     39865,     40672,    61902,         2,         2,        15,        14,        13,      1589,       738,       118,        30,        39,     14580,       293,    559074,    572682,     34195,     33315,    59053,         1,         8
Gd157,    103688,    102746,      6634,      6690,     1168,         4,         2,         5,         3,         2,         9,         6,         6,         8,         4,        38,         3,     89731,     91890,      5489,      5348,     1117,         4,         2
Yb172,    174024,    172425,     11220,     11081,     1002,         3,         7,         6,         6,         5,         9,         9,         5,         7,         5,         8,         8,    151203,    155182,      9310,      9152,      849,         2,         5

GLITTER!: Mean Raw CPS background subtracted.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,    936540,    934883,     60717,     61390,    17320,      3487,      4837,     11412,      8760,     12231,     20561,     13062,     12498,     12478,     10823,     10384,     11530,    820933,    841369,     50551,     49436,    15487,      3047,      4469
B11,    184276,    181877,     24866,     24629,    14215,     18340,     19216,     24359,     17980,     22764,     21972,     19435,     21018,     20296,     19004,     19474,     18857,    148591,    150164,     15500,     14737,     8492,      9016,      9676
Na23, 190793728, 190931824, 145443952, 146434160, 40796904,     69607,    198035,    471048,    319245,    476451,    718445,    547186,    473838,    478332,    436001,    533663,    414660, 170727632, 170104640, 121379784, 118865752, 37283676,     65810,    174496
Mg24,    424171,    413855,     43055,     43643, 17523410, 278229120, 298852704, 568163840, 412773728, 571627520, 566182976, 526418016, 595724096, 589523456, 552839424, 575134272, 572547840,    329156,    355897,     34824,     34595, 16006302, 247900688, 262337856
Mg25,     54331,     54049,      5362,      5199,  2226579,  36388528,  39568144,  74551800,  54128232,  74319136,  74417080,  69492072,  77696784,  77911024,  72049016,  76230240,  74212248,     44496,     44197,      4325,      4116,  1972845,  32485970,  34204904
Mg26,     60027,     60616,      5961,      6022,  2553604,  40602852,  44220612,  82278856,  61061776,  82258408,  82301384,  76696432,  85736592,  85680128,  80079456,  84647216,  81686984,     47389,     51150,      4811,      4867,  2239172,  36544092,  38175152
Al27,   7782823,   7732920,   6301816,   6354251, 50503948,     49767,    109813,    156852,     94586,    137991,    147308,    126046,    313007,    116458,    162072,    287493,    167412,   6565800,   6636758,   5055117,   4950991, 46844364,     44976,     97128
Si29,   5174448,   5162919,   4102723,   4112852,  3786831,   2913903,   3203519,   6330018,   4595204,   6239466,   6423380,   6026231,   6697010,   6726488,   6207406,   6386756,   6324796,   4479000,   4555656,   3334197,   3286520,  3470609,   2653864,   2790929
Si30,   3900346,   3903510,   3201046,   3217979,  2922134,   2434077,   2597289,   4599742,   3503688,   4697350,   4810936,   4450559,   4942686,   4946629,   4613231,   4700338,   4717454,   3404504,   3438471,   2606380,   2562190,  2653299,   2166212,   2254683
P31,     44774,     45074,      4496,      4331,   142052,      2247,      3277,     12882,      9568,     15188,     25294,     14435,     15574,     14767,     12968,      8237,     13419,     39420,     37864,      2783,      3350,   124773,      1801,      2859
Ca43,    132711,    131137,    104581,    105497,    71188,       654,       864,      4441,      4223,      4537,      4528,      4998,      5145,      6334,      4801,      3385,      6579,    113430,    115883,     85288,     83876,    66412,       454,       695
Ca44,   2112822,   2100871,   1661815,   1680290,  1112684,     17614,     22945,     89213,     78210,     88921,     90383,     93883,    101494,    120949,     91841,     71668,    119628,   1815685,   1842314,   1358761,   1327636,  1036562,     14848,     19383
Sc45,    387648,    380289,     29556,     29691,    26361,      5749,      5259,     10011,      7755,     10217,      9951,      9582,     10551,     10822,      9877,      8913,     10565,    333502,    340122,     22801,     22346,    22957,      4175,      3622
Ti47,     30881,     30332,      2118,      2228,   810238,       328,      2673,     17749,     12248,     16919,     18475,     16799,     31803,     17674,     18443,     44240,     23726,     26066,     26503,      1698,      1752,   764477,       372,      2269
Ti49,     23618,     23141,      1643,      1609,   618453,       178,      1865,     13503,      9258,     12699,     14302,     12575,     24575,     13686,     13844,     33377,     18073,     20185,     20538,      1315,      1256,   589089,       205,      1701
V51,    466540,    469807,     29711,     30084,   397104,      3156,      6621,      5764,      2912,      4995,      7369,      5335,     11377,      4097,      5900,      8254,      5220,    407648,    410838,     24137,     23799,   362819,      2781,      5649
Cr53,     44260,     44302,      2905,      2938,     1409,     14113,     28822,     91331,     38913,     70575,    122974,     63783,    300045,     59858,    117143,    114088,    102930,     36474,     36951,      2336,      2286,     1323,     12203,     24057
Mn55,    529132,    522851,     34599,     34934,  1637729,   1215772,   1157308,   4456052,   3437729,   4573481,   4423628,   4753667,   5003112,   5302461,   4556926,   3377125,   5122068,    436662,    448583,     27008,     26557,  1439661,   1069631,    968373
Co59,    399309,    399725,     25380,     25477,    33074,    134101,    151214,    319230,    223352,    312172,    321498,    307661,    332795,    326629,    302839,    301617,    306800,    329108,    334106,     19762,     19267,    28625,    117284,    124631
Ni60,     99230,     99938,      6339,      6315,     2396,    645358,    726121,    907211,    537808,    869953,    811041,    793345,    819913,    727137,    796657,   1296048,    634785,     80794,     82827,      4779,      4679,     2101,    547930,    598106
Ni62,     14815,     14684,       914,       949,      473,     94105,    107193,    136492,     79882,    126561,    121038,    116172,    120671,    108320,    115905,    190025,     94045,     12008,     11997,       710,       657,      378,     80147,     88455
Cu63,    270327,    270606,     16849,     17213,     9941,       502,      2707,      3949,      2419,      3295,      4606,      3472,      3681,      3617,      3767,      5221,      2820,    218805,    223451,     13082,     12678,     8420,       481,      2040
Zn66,     93253,     94200,      5767,      5995,    33402,     11440,     14956,     42676,     30115,     43042,     50219,     42909,     46059,     45477,     42476,     37991,     43748,     83136,     84108,      4931,      4847,    29267,     10083,     12398
Zn67,     15041,     15114,       981,       976,     6652,      1667,      2180,      6376,      4410,      6423,      7020,      6265,      6896,      6642,      6343,      5798,      6279,     12977,     13521,       809,       785,     5625,      1450,      1859
Ga69,    453468,    459916,     28783,     29458,    71028,        26,        91,       302,       138,         0,       477,       314,       574,       177,       331,      1831,       257,    387594,    395547,     23224,     22621,    59243,        36,        72
Sr88,    568110,    569057,     65856,     67284,   317489,         3,        12,        99,       238,        87,      4137,      1947,       281,        55,        69,      5844,        85,    496962,    501898,     55073,     54290,   302228,         0,         4
Y89,    465155,    463179,     29459,     29887,    25162,        40,        63,        65,        74,        70,        69,        93,        82,       123,        70,       175,       107,    409087,    419990,     24561,     23460,    23784,        25,        36
Zr90,    212177,    214631,     13897,     14299,    66295,        17,        22,        41,        34,        57,       550,       251,        87,        61,        62,       985,        53,    187612,    192300,     11632,     11629,    62882,        29,        14
Nb93,    420806,    415482,     26947,     26867,    10062,         4,         2,         7,         5,         0,       343,       229,        37,        10,        16,      3906,        31,    365049,    373268,     22062,     21668,     9527,         0,         4
Ba135,     41180,     41031,      2819,      2802,    55664,         3,         1,         8,       577,       688,       407,       263,        19,         0,         2,      1961,         1,     36398,     37298,      2313,      2423,    52770,         0,         0
Ba137,     70460,     70669,      4787,      4852,    95380,         1,         3,         2,         9,        51,       641,       420,        35,         1,        11,      3179,         6,     63458,     65018,      4000,      4046,    91015,         0,         0
La139,    471539,    471999,     29953,     30362,    22246,         0,         0,         3,         0,         0,       425,       163,        40,         0,         7,      3737,        31,    424774,    439082,     25514,     24980,    21210,         3,         0
Ce140,    614260,    616983,     39860,     40668,    61902,         2,         0,        11,        14,         0,      1589,       736,       118,        29,        37,     14576,       290,    559074,    572676,     34188,     33312,    59053,         0,         4
Gd157,    103686,    102746,      6634,      6689,     1168,         4,         0,         0,         0,         0,         7,         6,         3,         8,         4,        34,         3,     89731,     91885,      5484,      5344,     1117,         4,         2
Yb172,    174020,    172420,     11217,     11080,     1002,         3,         2,         4,         6,         0,         2,         8,         5,         6,         5,         5,         6,    151203,    155178,      9299,      9148,      849,         0,         1
GLITTER!: Fractionation%.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,-8.85158,-6.69885,-6.33380,-5.87647,4.23855e-005,16.6718,-3.87563,0.879990,-7.13637,-6.87899,-1.11949,2.26990,3.80245,-2.68485,1.16236,-2.19410,-3.23431,-4.13089,-3.11153,-0.795582,0.433896,2.11928e-005,0.523215,-2.16774
B11,5.03961,6.30730,6.83949,3.04164,0.000000,6.46573,9.63988,3.00854,7.87254,-0.456189,-1.91586,-3.00373,-1.59358,1.34045,-0.872939,-0.959033,-3.90637,1.47662,0.649960,1.91309,-2.73472,7.94729e-006,0.312740,-4.40882
Na23,-2.19682,-1.16285,-1.15945,-1.45259,-8.13803e-006,-1.80377,5.18772,5.42382,11.1373,4.87906,7.12141,-0.313588,3.87078,11.4279,-0.296984,-0.493995,-1.37057,-3.94866,-1.71748,-0.885934,1.52297,1.62760e-005,-1.79282,1.71244
Mg24,-2.00639,-1.30222,3.56977,0.868232,-1.81686e-005,3.97680,2.16623,3.81266,1.57728,3.78489,0.588601,-1.97858,-0.290939,3.74860,0.848545,0.256287,-3.34485,0.298856,-0.000572189,-0.111914,-1.15871,9.08431e-006,0.425173,-2.61828
Mg25,-1.05411,3.28858,0.642608,1.19918,-2.72529e-005,7.09023,4.80693,5.70277,5.42076,5.17213,3.33084,0.486509,3.06884,5.61440,-0.318602,1.09190,-1.46016,3.32350,-0.717412,3.74205,0.976374,-2.72529e-005,0.131517,-0.0395929
Mg26,-2.53701,-3.54259,1.01899,-2.10196,0.000000,2.16882,3.49732,5.19015,6.57237,1.75722,0.0859961,2.07112,2.36012,2.14340,-0.121314,2.34058,0.899319,-0.882000,1.82363,-3.27850,8.74119,-2.72529e-005,2.61052,2.01380
Al27,2.58606,1.28709,2.78989,2.63714,-2.20381e-005,3.03812,5.38675,-10.5698,9.86452,4.43616,15.6350,-0.558993,59.1300,3.65082,-8.52556,-21.4585,-12.1463,1.18005,1.78833,0.537828,0.935448,1.10190e-005,0.281179,-0.871709
Si29,-6.79866,-4.37968,-4.00986,-5.87643,1.84330e-005,2.42516e-005,2.42516e-005,2.48896e-005,2.48342e-005,2.48342e-005,2.49206e-005,8.30273e-006,1.66055e-005,2.47667e-005,3.30713e-005,4.05763e-005,1.65315e-005,-1.12462,0.0403643,3.79494,2.75668,3.68659e-005,2.42516e-005,2.42516e-005
Si30,-2.41752,2.27687,2.47050,3.43267,-6.14432e-006,5.71519,6.52493,1.85402,3.51269,4.43220,2.07994,-0.386541,2.41858,1.72732,-0.118667,1.48108,-1.89169,0.583229,0.724687,4.05309,4.15659,2.45773e-005,2.11107,2.00631
P31,1.03546,4.50965,-5.70213,-11.0723,1.52588e-005,-22.5700,1.27748,3.27381,2.49969,8.66657,0.144326,8.66154,2.35356,4.07401,2.17718,10.0524,5.17300,0.901265,-0.893063,-14.1533,-1.41780,1.52588e-005,-9.65077,-7.56431
Ca43,0.000000,0.000000,0.000000,-9.22460e-006,0.000000,-10.5516,13.8885,3.03153,-0.305935,0.379356,3.63070,-9.51025,0.795704,-7.25154,0.488022,1.05152,3.82363,0.000000,0.000000,0.000000,0.000000,7.73515e-006,-9.23540,6.15886
Ca44,1.40043,0.656156,0.916139,-0.426806,-7.73515e-006,5.60687,4.01262,-0.0508224,2.42773,0.467141,-0.256371,-4.23197,-3.60922,-1.45311,-3.33828,-5.24316,0.0133791,-0.911812,-0.875992,0.298545,-2.30863,0.000000,2.61732,-3.63693
Sc45,1.74775,1.42362,0.902678,-0.656506,-4.62388e-005,3.08032,1.50061,2.83809,2.64314,1.41115,-9.97423,3.31864,-2.13776,0.423457,-6.18010,0.893844,-1.08394,0.342956,1.50977,0.0406477,0.239452,0.000000,-1.53915,-1.18390
Ti47,1.68565,-1.31355,-4.88488,-2.00339,0.000000,-13.1741,5.67620,-7.56975,0.898275,3.85209,7.56566,-3.62870,45.8730,1.88967,-5.09753,-8.30860,-10.5694,-1.12675,-0.886368,-1.32525,14.7208,-2.77039e-005,6.68576,-0.615732
Ti49,-0.421679,0.278933,7.75200,-0.955681,-2.07779e-005,44.1859,7.49436,-13.6233,1.13211,4.02740,14.7013,-6.67472,45.8036,0.399590,-1.90756,-11.1972,-12.6436,4.21025,1.22604,10.0045,-0.330465,-2.07779e-005,-1.00256,1.09315
V51,-3.36445,-0.633227,1.79423,-0.438351,-2.87224e-005,6.09200,4.03880,-19.5195,3.17159,4.21202,13.3891,-3.95448,58.2166,6.37234,-7.44480,-6.81681,-13.3958,-0.844849,-3.48363,-1.59530,-4.24657,0.000000,-3.00742,-6.06211
Cr53,-6.18719,-7.71383,-3.29916,-6.01457,-1.12197e-005,1.77821,0.103418,-42.9051,13.5172,8.85503,1.85059,9.48283,82.1490,6.36008,-8.44974,2.07895,-23.0664,0.198266,2.05155,-0.0693391,10.6422,-1.12197e-005,3.85685,2.42734
Mn55,-0.674682,1.20623,0.415049,-0.503950,0.000000,4.46433,4.07335,4.10843,0.846080,2.36444,-0.446618,4.72561,2.70643,5.68596,1.31002,2.61034,-1.08262,-1.46668,0.0186770,0.0863589,-0.418891,1.57510e-005,-2.93609,0.700197
Co59,-4.82313,-3.93294,-3.89079,-4.86079,-2.00774e-005,5.42626,3.35780,3.40211,3.57741,0.658746,-2.10207,2.52586,5.48726,5.96842,0.641052,0.863901,0.834918,-4.61984,-2.86357,-0.795454,-1.48200,3.01160e-005,1.29527,0.708324
Ni60,0.963958,-0.377670,-1.77536,-2.24349,-7.33596e-006,3.35643,5.80993,0.519835,2.41617,4.30590,-5.85801,-1.55390,-4.34432,-0.687047,-9.62842,-6.81930,-10.6667,-14.3506,-12.3787,-14.6386,-13.6474,0.000000,-14.4382,-15.6696
Ni62,2.28529,1.88179,-3.32738,2.74997,0.000000,15.8295,16.3993,16.1732,19.2914,16.3927,19.5413,21.0385,24.1988,28.1004,16.8323,24.0441,22.3475,19.3234,26.9935,14.7557,36.2905,2.93438e-005,34.7299,35.0372
Cu63,-1.28417,-2.27120,-0.523039,-2.20760,2.72478e-005,-8.02393,3.63856,-0.368539,15.3221,1.00195,16.9242,-7.26164,7.11608,7.56170,2.32753,5.53508,3.35347,1.09513,1.77681,1.54429,1.76423,-2.72478e-005,2.82742,3.94747
Zn66,-5.48736,-2.82682,-2.52140,-13.5502,1.83106e-005,3.92457,0.999114,8.49343,-2.49805,4.68321,5.93855,6.05917,5.70297,7.20306,2.69700,5.53634,-0.404648,-3.92790,-2.68201,3.17311,-1.80922,0.000000,4.93594,1.82776
Zn67,-9.25264,-6.57004,-3.05724,-9.50352,-1.83106e-005,-1.70556,11.2212,5.70762,6.76623,1.68529,1.12749,3.04749,5.03931,8.10556,0.922697,7.34848,4.55004,0.196747,-4.53840,2.14605,-10.5918,-1.22070e-005,-1.53141,11.5843
Ga69,1.13873,1.20507,2.09414,1.04267,-8.29282e-006,28.8364,-19.1420,1.77832,7.57913,-9.08893,37.0215,1.60697,53.3945,14.7910,-23.8585,-85.9671,-17.3062,-0.124296,-0.964630,0.671156,-4.15404,1.65856e-005,28.7412,34.1676
Sr88,0.0840944,-0.547485,1.63158,-1.02356,3.56931e-005,57.5980,-46.6638,-17.5187,-132.279,-52.6890,63.4364,-11.5909,8.35925,-3.46392,-51.5166,0.440470,-25.8834,0.700014,0.593886,0.676946,-1.19647,2.67698e-005,-189.257,67.7917
Y89,-4.15885,-3.03657,-3.74564,-7.31681,3.26974e-005,7.86813,-48.8583,23.7397,-37.9817,4.80656,59.3836,-31.9868,-25.3413,18.2798,-17.1059,-16.6809,32.0769,-0.352745,-0.488297,-1.98882,-1.91496,3.26974e-005,-74.1327,54.7833
Zr90,-0.485829,-2.68503,-1.12743,-2.13581,8.29282e-006,0.227275,116.011,-28.7210,73.3567,-62.2735,47.8071,-60.1259,36.2684,14.1412,-78.9011,-118.467,-42.3179,-0.0412399,-0.383871,-3.58685,-6.88257,-8.29282e-006,-24.8939,89.1072
Nb93,2.01532,2.74385,1.76014,3.16951,5.34058e-005,-30.3012,-30.0373,-86.7175,-146.288,6.55667,98.1827,-9.11097,57.6189,36.4691,67.2488,4.42946,24.3246,3.08913,3.94574,1.02021,3.49423,7.62939e-005,-612.321,-138.569
Ba135,-1.73591,-4.11496,-4.35396,6.31909,1.78727e-005,55.7666,205.668,-86.0345,-190.340,-196.950,47.6679,-25.1316,-24.3760,-20.1394,-276.246,-104.902,383.323,3.11457,0.786801,-5.65134,-1.37243,0.000000,252.092,-18.4387
Ba137,0.584753,-0.834150,-3.16670,-3.58483,-8.93634e-006,214.407,-107.495,245.864,-188.987,-469.262,64.8120,-14.3326,55.5336,8.31151,48.4710,-108.676,-281.458,0.0164673,0.677420,2.37475,5.25584,1.78727e-005,126.260,895.273
La139,-1.71363,-0.151644,0.894574,-0.330609,1.54441e-005,39.4962,121.212,55.8211,57.8572,55.8368,96.2163,-16.1294,-41.5856,-15.8252,-159.882,4.16006,-96.6163,0.442129,0.863105,-0.968091,-2.24823,-1.54441e-005,45.2659,-1680.69
Ce140,-1.06087,-0.386342,0.828465,-1.51967,1.43141e-005,-179.289,-22.8411,-26.8476,-113.033,-29.1068,87.5256,-6.51924,-36.3094,-172.399,-188.875,16.9426,-171.923,0.379535,-0.228990,3.22613,1.45054,2.14711e-005,251.907,-55.5209
