GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-04 EMP UPDATED windows reselected - Do not edit pre 29.09.17 612 standard\run4.b
Created: Fri Sep 29 18:34:39 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Cr53,418.99,426.18,35.89,37.02,15.03,137.20,269.74,591.97,525.27,573.86,628.51,556.67,546.85,476.27,489.33,439.09,596.82,420.96,425.83,35.88,36.89,<-1.00,141.36,269.47,14.87
Mn55,451.65,460.03,38.16,39.35,1617.23,1136.88,1009.71,1585.73,1717.06,1640.40,1473.43,1632.06,1667.53,1651.65,1682.63,1722.11,1641.99,456.30,454.87,38.29,39.08,1111.89,1157.10,1021.32,1577.54
Co59,419.64,430.58,34.98,36.12,39.70,153.04,160.23,173.80,179.66,177.67,165.19,176.60,177.29,177.18,171.83,175.39,175.41,419.30,426.13,35.25,35.71,203.12,152.49,160.65,38.16
Ni60,460.56,478.51,38.14,39.61,12.89,3208.09,3368.60,1956.43,1790.23,1921.80,2677.77,1910.23,1902.78,1638.50,2304.79,1452.70,1988.60,458.88,462.11,37.93,39.64,124.38,3174.94,3366.26,11.74
Ni62,472.66,479.46,37.25,40.75,18.50,3285.26,3413.35,2020.42,1816.07,1932.37,2791.04,1988.28,1938.30,1670.53,2340.04,1452.92,2049.48,463.33,471.55,37.85,39.66,67.31,3282.92,3473.62,16.83
Cu63,447.19,464.79,37.01,38.78,42.97,0.899,4.27,4.34,3.08,4.92,4.60,3.51,3.32,4.28,2.42,1.101,4.62,446.42,451.40,36.95,38.62,2814.15,0.859,4.46,17.71
Zn66,476.88,486.89,38.87,39.40,216.57,58.55,70.44,71.27,79.13,75.93,72.23,74.47,76.64,75.48,85.03,69.25,73.84,468.42,475.16,38.41,39.78,7953.66,57.61,69.60,166.21
Zn67,450.59,460.58,38.54,39.69,237.16,53.91,64.02,65.84,73.00,69.77,65.88,68.03,70.57,70.03,80.03,64.09,71.07,474.05,480.85,39.78,38.43,6991.63,56.65,67.53,201.07
Ga69,439.96,454.20,36.24,37.72,67.69,0.0286,0.0953,0.1603,0.1382,0.1455,0.1516,0.1634,0.1300,0.1577,0.1566,0.0714,0.1905,444.23,444.09,36.14,37.64,30.22,0.0399,0.0792,63.82
Sr88,508.43,512.61,78.05,78.75,330.58,0.0002,0.0064,0.0129,0.0313,0.0302,0.0161,0.0204,0.0198,0.1433,0.0307,-0.0838,0.0152,520.15,516.53,79.18,77.64,270.50,0.0001,0.0031,332.66
