GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 2.b
Created: Fri Sep 29 17:43:25 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2
Ni62,388.20,381.05,32.83,29.96,13.00,2743.75,2896.24,332.58,331.55,340.68,352.99,362.28,371.16,345.04,346.67,346.52,347.87,394.61,395.17,35.33,34.12,13.00,2835.84,2863.05
Cu63,513.14,512.73,42.69,41.90,21.00,1.210,4.81,1.052,1.485,1.142,1.171,0.871,1.042,1.166,1.150,1.191,1.057,522.30,525.20,48.60,42.40,21.00,1.027,5.12
Zn66,333.30,330.03,27.15,27.50,125.00,42.77,49.83,212.32,206.11,220.28,231.15,224.29,223.07,223.55,225.51,220.75,223.51,337.22,338.66,30.81,29.18,125.00,43.60,50.21
Zn67,272.39,278.04,23.11,23.16,125.00,32.45,39.18,162.97,160.95,172.90,178.14,170.37,168.75,174.07,172.04,171.03,168.82,283.04,278.99,25.83,24.08,125.00,33.54,39.10
Ga69,141.03,140.78,11.69,11.65,23.00,<0.0214,0.0265,0.0713,0.187,0.0602,0.0683,0.0768,0.0790,0.0789,0.0710,0.0719,0.0697,148.74,146.43,12.22,12.10,23.00,<0.0168,0.0422
Sr88,532.96,525.89,81.18,81.63,342.00,0.00085,<0.0297,0.0220,8.38,0.0350,0.0381,0.0175,0.0197,0.0651,0.0245,0.1776,0.0290,535.31,535.37,83.41,81.97,342.00,<0.0296,<0.0147
Y89,568.86,570.32,47.22,45.78,35.00,<0.081,<0.0546,0.529,0.510,0.485,0.461,0.329,0.429,0.498,0.473,0.473,0.483,571.20,569.27,48.32,47.25,35.00,0.0398,0.0579
Zr90,518.82,519.94,44.40,45.16,184.00,0.099,<0.133,0.172,0.389,0.737,0.154,0.162,0.131,0.189,0.232,0.186,0.151,520.74,523.78,48.90,46.41,184.00,0.076,<0.066
Nb93,452.32,451.66,37.66,37.70,12.50,<0.0763,0.0067,<0.0058,0.0714,0.00126,<0.0055,<0.0078,<0.0078,<0.0077,<0.0109,0.0221,<0.0059,455.46,454.22,38.25,38.21,12.50,<0.0182,<0.0220
Ba135,446.02,446.74,39.21,41.50,683.00,0.0097,<0.481,<0.109,3.56,<0.143,0.155,<0.126,<0.103,<0.071,<0.101,<0.209,0.0088,449.72,458.36,41.47,39.58,683.00,<0.339,0.035
Ba137,450.86,451.25,39.10,40.36,683.00,0.0112,0.031,0.0234,3.60,<0.083,0.090,<0.0598,<0.0727,<0.058,<0.0415,0.092,<0.063,453.05,448.44,40.63,38.82,683.00,<0.196,0.0101
La139,467.51,471.38,38.63,38.56,24.70,0.0043,<0.0304,0.1275,0.371,0.0954,0.0463,0.0467,0.0514,0.0845,0.1144,0.0658,0.0765,470.84,469.34,39.20,38.44,24.70,<0.0213,0.0031
Ce140,476.58,476.05,40.01,39.87,53.30,0.00135,0.0074,1.606,2.028,0.960,0.254,0.465,0.537,0.591,0.410,0.517,1.307,484.34,483.07,41.45,40.59,53.30,<0.0168,<0.0117
Gd157,512.85,511.16,42.85,42.53,6.71,0.027,0.0123,<0.071,<0.070,0.0326,0.0212,<0.0474,<0.0470,<0.0462,0.0359,0.0352,<0.0500,494.09,502.00,42.88,41.55,6.71,0.0125,<0.131
Yb172,583.20,582.44,49.20,48.90,3.39,0.0120,<0.105,0.168,0.208,0.163,0.152,0.085,0.135,0.134,0.082,0.125,0.161,548.07,545.39,47.31,45.98,3.39,<0.110,0.0382

GLITTER!: 1 sigma error.
Element,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2
Li7,13.76,13.77,1.19,1.17,0.29,0.11,0.11,0.25,0.29,0.26,0.27,0.21,0.24,0.27,0.29,0.28,0.23,13.72,13.58,1.17,1.17,0.29,0.079,0.095
B11,2.92,2.91,0.44,0.43,0.19,0.21,0.21,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.14,3.45,3.46,0.49,0.48,0.20,0.20,0.19
Na23,3169.78,3088.37,3115.93,3100.62,732.58,1.31,3.19,1.75,4.70,1.97,2.26,1.48,1.68,2.02,2.06,2.16,1.75,3124.06,3106.11,3109.08,3096.74,732.68,1.24,3.11
Mg24,13.19,14.00,1.96,1.98,682.76,9947.04,10064.84,6314.08,6318.68,6500.09,6327.94,6974.73,6435.92,6278.37,6156.15,6166.08,6581.37,14.37,14.45,2.14,2.00,685.00,10189.23,10070.62
Mg25,14.30,13.90,2.09,2.03,666.72,10598.90,10622.10,6688.22,6456.30,6690.47,6690.50,7344.63,6853.40,6653.34,6518.67,6520.28,6853.20,14.23,14.46,2.30,2.06,667.38,10583.34,10555.28
Mg26,13.41,14.12,2.11,2.17,665.84,10508.61,10452.10,6564.58,6478.62,6628.19,6541.55,7143.03,6756.99,6406.37,6355.33,6436.88,6762.19,14.11,14.10,2.26,2.16,666.64,10430.63,10354.22
Al27,309.99,306.93,329.93,329.29,2356.31,2.13,4.24,3.51,14.81,3.39,3.59,3.81,3.46,3.59,3.50,3.83,3.14,314.69,313.97,338.88,332.97,2367.34,2.10,4.10
Si29,13471.39,13403.05,13835.18,13898.16,11062.05,6115.05,6114.73,5652.28,5535.24,5665.49,5596.02,5709.81,5616.84,5595.94,5606.29,5603.37,5656.69,13892.08,13693.17,14347.33,14089.34,11132.97,6114.77,6114.64
Si30,12446.63,12327.24,13093.37,13184.00,10294.90,6394.00,6386.99,5355.73,5332.21,5483.07,5522.55,5583.16,5498.04,5377.01,5384.03,5323.66,5476.74,12445.65,12563.71,13471.58,13382.22,10372.25,6375.20,6265.85
