GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-04-20 EMP UPDATED Windows reselected\run2.b
Created: Fri Sep 29 17:15:07 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02,FS1-1,FS1-2,FS1-3,FS1-4,FS1-5,FS1-6,FS1-7,FS1-8,FS1-9,FS1-10,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03
Ba135,461.31,462.20,41.54,41.29,683.00,<0.395,0.025,0.232,<0.161,0.0160,<0.143,<0.068,<0.097,<0.096,<0.095,<0.0659,<0.112,448.95,453.84,39.34,39.56,683.00,<0.174,<0.328
Ba137,456.42,458.91,41.77,42.56,683.00,<0.102,0.0147,0.382,<0.110,<0.0586,<0.117,<0.0393,<0.0396,<0.0390,<0.0863,<0.0535,<0.0831,452.55,452.46,38.64,40.22,683.00,<0.141,<0.133
La139,471.06,468.13,38.52,39.03,24.70,0.0025,<0.0261,0.0126,0.00069,0.00181,<0.0130,0.00134,0.0115,<0.0087,<0.0105,0.00127,<0.0083,466.39,462.83,38.34,38.88,24.70,<0.0273,0.0040
Ce140,488.65,488.58,41.21,41.72,53.30,<0.0179,<0.0205,0.1281,<0.0089,<0.0135,<0.0124,<0.00683,0.0156,<0.00677,0.00180,0.00271,<0.00644,481.05,475.69,40.30,41.01,53.30,<0.0210,0.00062
Gd157,528.93,528.97,44.18,44.64,6.71,<0.163,<0.133,0.0256,<0.0336,<0.0892,<0.095,<0.0322,0.0106,<0.0456,<0.0320,<0.0446,<0.0440,534.68,529.60,43.97,45.04,6.71,<0.171,<0.081
Yb172,489.12,489.43,41.58,40.69,3.39,0.0289,<0.0616,0.129,0.0010,<0.0271,<0.0543,0.0080,<0.0187,<0.0370,<0.0369,<0.0316,<0.0360,521.57,513.64,43.61,44.20,3.39,<0.0712,0.0207

GLITTER!: 1 sigma error.
Element,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02,FS1-1,FS1-2,FS1-3,FS1-4,FS1-5,FS1-6,FS1-7,FS1-8,FS1-9,FS1-10,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03
Li7,13.89,13.83,1.21,1.23,0.28,0.081,0.093,0.055,0.036,0.038,0.068,0.080,0.087,0.080,0.082,0.075,0.052,13.22,13.15,1.12,1.16,0.28,0.079,0.093
B11,1.11,1.13,0.30,0.31,0.18,0.26,0.25,0.21,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,1.39,1.42,0.30,0.32,0.19,0.23,0.23
Na23,3183.39,3151.59,3181.04,3282.56,731.94,1.27,3.24,3.63,2.94,2.97,3.06,3.06,3.12,3.03,3.02,6.70,3.09,3101.55,3109.31,3067.41,3208.35,731.82,1.24,3.20
Mg24,14.08,14.25,1.98,2.06,678.77,10045.55,10006.36,9834.75,10191.23,10410.89,9802.19,9901.60,9928.40,9836.76,9947.48,9369.58,9700.56,13.88,14.11,1.93,2.02,679.53,10077.29,10075.73
Mg25,13.32,13.71,1.97,2.01,662.82,10150.48,10093.92,9942.46,10344.20,10513.12,10050.95,10073.75,10122.48,10038.60,10208.26,9436.39,10013.02,13.64,13.69,1.88,2.06,663.87,10263.70,10372.68
Mg26,13.57,13.71,2.10,2.13,662.18,10019.96,9834.79,9843.10,10293.35,10382.75,9606.12,9789.09,9999.15,9797.15,9907.81,9273.85,9706.43,13.40,13.49,1.92,2.08,662.86,9994.21,10068.02
Al27,316.65,316.01,334.79,337.19,2333.06,2.14,4.13,1.01,0.69,0.69,0.41,0.48,0.49,0.47,0.49,3.08,0.79,312.26,310.98,329.04,333.19,2336.77,2.06,4.06
