GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 3.b
Created: Fri Sep 29 18:41:13 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2,15-01,15-02,15-03,15-04,15-05,15-06,15-07,15-08,15-09,15-10,STD610-7,STD610-8,612-7,612-8,BCR-2G-3,SCO-1-3,SCO-2-3
Zn67,442.55,436.73,39.85,38.39,198.50,51.02,60.23,227.06,231.06,235.37,225.16,235.91,236.77,235.89,235.97,241.47,259.56,466.00,474.94,38.31,39.93,216.71,56.29,62.35
Ga69,454.54,445.31,37.09,36.69,69.87,0.0298,0.119,0.216,0.186,0.214,0.217,0.285,0.189,0.230,0.206,0.225,0.231,457.32,445.61,37.17,36.66,69.99,0.0162,0.072
Sr88,504.97,504.89,79.16,77.56,325.78,0.0020,0.0061,0.0278,0.0276,0.0586,0.0297,0.557,0.0218,0.0227,0.0275,0.0221,0.0139,518.22,516.12,79.19,77.70,334.12,-0.0145,0.0073
Y89,454.91,453.17,38.70,37.87,28.13,0.0313,0.0402,0.360,0.359,0.342,0.319,0.302,0.381,0.326,0.313,0.385,0.393,457.73,460.06,38.59,38.05,29.30,0.0283,0.0352
Zr90,409.69,412.62,39.12,36.67,147.24,0.0462,0.0287,0.172,0.160,0.184,0.317,0.322,0.104,0.101,0.125,0.168,0.178,429.80,438.51,38.31,37.58,163.14,0.049,0.023
Nb93,461.89,460.48,38.95,38.84,12.78,0.0002,-0.0021,-0.0018,0.0013,0.0266,0.0007,0.0818,0.0009,0.0034,0.0040,0.0015,0.0012,463.88,466.23,39.05,38.76,13.06,0.0017,-0.0031
Ba135,437.35,445.37,40.33,38.24,667.97,-0.066,0.031,0.004,0.012,0.126,0.085,1.355,0.082,0.010,0.090,-0.002,-0.000,441.43,448.21,39.56,39.11,677.03,-0.030,0.0083
Ba137,447.07,441.86,40.13,38.47,678.03,-0.004,0.0092,0.0032,0.030,0.112,0.040,1.477,0.0278,0.0268,0.003,0.015,0.0203,446.81,446.23,38.96,39.68,693.63,0.0198,0.006
La139,436.52,433.69,36.36,35.63,23.00,-0.0013,0.0040,0.0175,0.233,0.0318,0.1012,0.1061,0.0152,0.0249,0.0799,0.0710,0.0307,432.92,432.74,36.03,35.99,23.80,-0.0006,-0.0033
Ce140,452.50,450.49,38.76,38.01,50.02,-0.0014,0.0022,0.329,1.147,0.228,0.670,0.793,0.0915,0.248,0.660,3.03,2.937,458.26,453.90,38.62,38.21,51.69,0.0007,0.00056
Gd157,433.93,440.89,37.73,36.84,5.97,0.0109,-0.011,0.0084,0.030,0.0104,-0.0042,0.0148,0.0154,0.0275,0.0149,0.058,0.0125,436.39,439.97,37.39,37.23,6.01,0.011,-0.0032
Yb172,454.53,453.27,39.64,38.73,2.88,0.016,0.0226,0.114,0.114,0.098,0.072,0.087,0.120,0.124,0.108,0.128,0.109,457.54,457.50,39.32,39.11,3.29,-0.0008,0.0132

