GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 6.b
Created: Fri Sep 29 18:43:55 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Cu63,452.31,449.31,38.95,36.75,18.74,0.985,4.48,0.721,3.19,16.27,1.188,2.001,1.566,2.05,4.88,456.84,462.91,38.44,37.32,18.59,0.969,4.35
Zn66,469.41,458.56,39.48,38.69,180.40,58.92,70.61,161.45,123.40,138.34,159.28,23.61,22.36,102.65,117.60,468.32,473.79,40.24,38.17,170.42,59.28,69.27
Zn67,447.36,440.85,37.64,40.53,214.04,50.98,61.87,137.89,107.56,128.03,141.00,20.36,19.89,92.62,106.96,457.23,455.56,40.68,37.67,207.79,55.30,65.02
Ga69,444.06,437.22,37.13,36.65,71.07,0.0353,0.105,0.154,0.186,0.130,0.367,6.37,5.55,0.097,0.0886,443.55,445.24,37.61,36.31,67.68,0.0374,0.102
Sr88,504.77,505.19,77.98,78.76,327.29,<0.0467,<0.0118,0.1285,0.1331,0.1234,0.797,281.41,302.80,0.0266,0.0173,510.46,506.93,79.08,77.78,333.56,<0.0516,<0.0193
Y89,451.31,455.79,37.89,38.67,28.27,0.0340,0.0259,0.0756,0.0308,0.0395,0.167,2.80,2.64,0.151,<0.0205,459.11,471.65,38.73,37.90,29.65,<0.0356,0.0625
Zr90,433.40,438.30,37.76,38.02,157.88,0.068,<0.0471,0.180,0.454,0.120,2.47,48.89,57.55,13.69,1.187,436.95,443.14,38.11,37.70,159.06,0.093,0.049
Nb93,453.80,457.30,39.14,38.66,12.89,<0.0292,<0.0330,1.690,1.521,0.474,8.92,1.089,0.827,0.0246,<0.0123,460.70,465.50,39.26,38.60,12.86,0.0051,<0.0223
Ba135,439.55,435.54,39.88,38.78,671.31,<0.233,<0.195,0.616,0.396,0.106,3.10,0.508,0.401,<0.279,0.0092,426.75,436.42,39.01,39.60,665.15,<0.233,<0.272
Ba137,447.37,445.03,39.34,39.25,678.17,<0.167,<0.114,0.675,0.475,0.095,2.82,0.316,0.360,0.0171,0.0053,427.62,432.72,39.50,39.13,662.02,<0.188,<0.00
La139,427.54,432.45,36.18,35.82,23.55,<0.00,0.0023,0.0701,0.0632,0.0369,0.261,8.86,6.74,0.0059,0.0265,431.98,435.88,36.18,35.86,23.70,<0.0347,<0.0331
Ce140,452.72,455.32,38.34,38.44,51.29,<0.0159,<0.0210,0.295,0.477,0.185,0.491,36.51,26.71,0.353,0.0923,451.42,458.42,38.69,38.14,50.97,<0.0157,<0.00
Gd157,430.17,439.15,37.03,37.54,6.13,<0.0675,<0.0567,<0.0387,0.0193,0.0117,<0.066,1.953,1.680,<0.134,<0.045,442.14,448.99,37.60,37.02,5.68,0.0076,<0.0664
Yb172,454.91,464.61,39.07,39.33,2.89,0.0193,<0.0352,0.0196,<0.0271,<0.0392,<0.041,0.157,0.169,<0.102,0.0095,455.47,465.63,39.17,39.22,2.87,<0.085,0.0208

GLITTER!: 1 sigma error.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,14.87,15.23,1.30,1.30,0.32,0.081,0.096,0.16,0.16,0.18,0.17,0.23,0.18,0.16,0.095,16.17,16.53,1.44,1.42,0.35,0.086,0.11
B11,9.40,9.41,1.38,1.33,0.63,0.51,0.48,0.36,0.33,0.31,0.48,0.35,0.30,0.49,0.40,13.02,13.58,1.86,1.89,0.75,0.50,0.51
Na23,3426.81,3511.65,3522.20,3470.14,818.13,1.20,3.03,2.68,2.79,2.73,2.98,69.85,61.26,2.12,2.59,3938.69,4073.26,4229.37,4194.62,991.16,1.24,3.05
Mg24,16.27,16.17,2.30,2.26,802.46,11769.58,11703.96,9972.30,10263.83,10177.51,10034.70,3728.96,3892.23,11602.45,11736.95,16.89,17.09,2.42,2.43,850.17,14317.20,14525.09
Mg25,23.17,23.16,3.22,3.12,1119.20,13336.21,13191.13,11479.23,11742.77,11401.66,11566.96,4281.35,4467.67,13175.95,13352.17,30.95,32.60,4.60,4.49,1688.97,16959.93,17592.79
Mg26,20.04,20.05,3.01,2.86,983.63,14264.07,14038.66,12193.50,12830.89,12396.39,12695.65,4801.07,4970.98,15017.99,14967.16,24.91,26.58,3.83,3.92,1376.06,20116.97,20841.51
Al27,340.39,340.04,365.76,362.96,2605.89,2.23,4.45,2.41,3.19,2.43,7.46,401.16,299.95,3.34,2.95,341.60,344.63,373.31,372.44,2679.86,2.72,5.37
Si29,15068.44,14963.15,15890.09,15671.02,12419.21,6114.72,6114.85,5926.38,5813.69,5829.01,5855.98,7411.58,7448.27,5958.46,5915.40,16207.06,16546.46,17751.00,17470.51,13767.33,6114.90,6114.89
Si30,14208.61,14053.93,15444.84,15168.77,11881.51,6430.71,6311.09,5638.41,5633.22,5525.24,6232.09,7038.47,7139.32,6262.70,6033.97,15958.83,16485.90,18510.68,18211.13,14329.98,6541.30,6597.57
P31,26.95,27.11,3.84,3.79,96.56,1.55,1.87,4.14,4.81,4.91,4.13,1.46,1.51,2.94,4.82,32.18,32.46,4.29,4.43,118.23,1.88,2.83
Ca43,2613.18,2613.30,2725.62,2721.50,1639.63,28.10,29.87,74.36,45.77,49.32,112.26,5815.82,5609.21,67.03,55.72,2614.81,2615.15,2727.11,2725.50,1640.94,30.02,34.65
Ca44,2607.71,2591.48,2696.33,2706.93,1613.72,25.99,29.35,73.39,47.47,50.46,106.56,5754.23,5459.04,64.78,53.64,2611.05,2677.23,2758.17,2745.32,1654.34,30.10,35.94
Sc45,13.90,13.87,1.34,1.31,1.05,0.19,0.16,0.17,0.16,0.15,0.20,2.14,2.19,0.19,0.18,14.78,15.28,1.44,1.45,1.16,0.20,0.17
Ti47,15.85,15.94,1.80,1.74,498.64,0.40,1.47,5.70,4.72,4.09,9.11,428.66,360.18,5.25,4.17,19.27,19.85,2.06,2.09,656.89,0.48,2.09
