GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 6.b
Created: Fri Sep 29 18:43:55 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Na23, 179590480, 179567728, 115906792, 128690784, 38076832,    101135,    212825,    350987,    360002,    347320,    197435,   6525943,   7222474,    148537,    244971, 168597424, 168841952, 112006176, 116481296, 35600128,    100781,    203319
Mg24,    382171,    365921,     33621,     37145, 16436918, 251027808, 262739600, 444974080, 449559008, 432669984, 202803360, 125215000, 162828272, 221395440, 331377760,    344234,    339136,     31246,     33219, 15051802, 235893728, 245825008
Mg25,     47964,     46708,      4095,      4473,  2035817,  32942366,  34227148,  59052252,  59117044,  55518152,  26673784,  16333746,  21140880,  28307036,  42239964,     44108,     43989,      3916,      3944,  1881536,  30404466,  32246584
Mg26,     55270,     53033,      5887,      6337,  2297778,  36742904,  37838052,  64852168,  66424116,  61701348,  29734318,  18476460,  23560534,  32083646,  46740168,     49855,     49703,      5321,      5613,  2109960,  34144416,  35942572
Al27,   7032813,   6825440,   4710866,   5264470, 47433576,     45769,     91488,     98408,    127840,     94377,    138370,  12409149,  11574750,     59273,     76871,   6335025,   6282492,   4412759,   4690164, 44307192,     42343,     85090
Si29,   4867832,   4710224,   3226086,   3582215,  3568894,   2720461,   2879394,   5569701,   5408321,   5315768,   2578745,   5466401,   6929030,   2577669,   3833445,   4509258,   4490786,   3107980,   3229459,  3314316,   2577559,   2698368
Si30,   4463878,   4338213,   3288289,   3544320,  3515963,   2955438,   3048723,   4967216,   4784255,   4622427,   2843473,   4728369,   5804780,   2769257,   3679904,   3999514,   4018615,   3074312,   3143734,  3199709,   2698125,   2816668
P31,     47515,     47198,     10062,     10286,   135429,      8476,      9182,     22416,     23296,     22543,     11960,      9120,     10449,      9870,     15141,     43680,     43862,      9393,      9259,   125009,      7436,      8300
Ca43,    122086,    118748,     79511,     89579,    67739,       714,       860,      5745,      3374,      3374,      3777,    365045,    437952,      2090,      2479,    113877,    112390,     76155,     81488,    64575,       673,       861
Ca44,   1962199,   1895964,   1269263,   1435315,  1076643,     23561,     27103,    108104,     70473,     72204,     72391,   5886890,   6949767,     44048,     52633,   1789804,   1805836,   1209775,   1283678,  1018048,     21161,     24778
Sc45,    354890,    344522,     21503,     23700,    23668,      4494,      3906,      8350,      7637,      7075,      4351,     81996,    104840,      4168,      5574,    327437,    330906,     20243,     21530,    22471,      4075,      3536
Ti47,     28177,     27502,      1740,      1916,   779108,       404,      2194,     18505,     14945,     12316,     13001,   1035812,   1074170,      6847,      7910,     26347,     26180,      1570,      1659,   744809,       387,      2144
Ti49,     21832,     21062,      1256,      1374,   598423,       277,      1730,     13954,     11866,      8944,     10398,    796315,    818501,      5077,      6090,     20224,     20054,      1128,      1294,   575314,       261,      1614
V51,    433658,    428767,     23318,     26111,   368305,      2893,      5830,      6195,      8106,      7773,      4218,    149098,    165083,      3223,      5329,    413506,    403923,     22338,     23154,   346106,      2837,      5488
Cr53,     40320,     39330,      2384,      2579,     1434,     12444,     24952,     13412,     43372,     41163,      6342,     21832,     14305,     18320,     30403,     36554,     36630,      2178,      2229,     1334,     11624,     22874
Mn55,    476515,    465746,     28431,     31396,  1491897,   1109687,   1010174,   6963878,   4357430,   4945397,   3175165,   1126738,   1501551,   1738012,   2766716,    430854,    429913,     27225,     28118,  1376081,   1030718,    941526
Co59,    359512,    357538,     19110,     21319,    30221,    122441,    129664,    380338,    335626,    336505,    169359,     41489,     49307,    141949,    236113,    329068,    326593,     17847,     18954,    26832,    114872,    120297
Ni60,     90245,     86590,      4727,      5111,     2116,    567291,    622682,    405660,    615099,    592699,    140680,     22898,     26050,    252087,    438310,     80207,     80904,      4621,      4605,     1876,    527804,    571100
Ni62,     13199,     12745,       686,       802,      395,     84187,     91368,     61037,     88855,     86626,     20908,      3376,      3968,     35886,     61616,     11816,     11922,       635,       685,      402,     76836,     82910
Cu63,    238938,    230289,     12858,     13623,     8731,       496,      2309,       744,      3250,     16018,       573,      1613,      1572,       953,      3379,    215461,    214772,     11624,     12016,     7889,       438,      2005
Zn66,     88807,     84395,      4695,      5191,    30403,     10357,     13134,     60081,     45495,     50010,     27697,      6916,      8286,     17558,     30211,     82643,     82510,      4585,      4647,    27335,      9895,     12126
Zn67,     14134,     13525,       742,       906,     5971,      1494,      1898,      8456,      6521,      7602,      4028,       983,      1200,      2589,      4478,     13123,     12883,       749,       746,     5384,      1485,      1831
Ga69,    427138,    408735,     22344,     24831,    60563,        36,       104,       295,       346,       241,       327,      9370,     10294,        86,       121,    391486,    387317,     21335,     21994,    54046,        37,        93
Sr88,    539001,    524629,     52138,     59332,   310454,         9,         3,       268,       275,       250,       777,    461977,    627434,        26,        27,    505226,    494859,     50333,     52911,   299472,         4,         9
Y89,    440281,    432067,     23110,     26552,    24420,        30,        24,       143,        59,        74,       147,      4165,      4945,       132,        22,    409767,    414835,     22203,     23188,    23917,        21,        56
Zr90,    200618,    197344,     10950,     12424,    64967,        34,        15,       163,       408,       106,      1046,     34863,     51810,      5701,       744,    187976,    188068,     10556,     11154,    62117,        39,        23
Nb93,    392675,    384498,     21166,     23541,     9884,         5,         2,      2850,      2537,       775,      6997,      1434,      1373,        18,         1,    364663,    363086,     19955,     20941,     9201,         3,         5
Ba135,     39824,     38425,      2267,      2488,    54302,         2,         7,       110,        70,        19,       260,        71,        74,         7,         1,     36521,     36883,      2154,      2337,    51900,         1,         2
Ba137,     68502,     66468,      3796,      4278,    93319,         0,         3,       206,       144,        29,       406,        76,       110,         2,         1,     63356,     63415,      3789,      4017,    89976,         2,         0
La139,    455746,    448585,     24178,     26987,    22355,         0,         2,       147,       131,        76,       255,     14619,     14037,         5,        43,    430774,    428959,     23251,     24622,    21496,         2,         6
Ce140,    600748,    588587,     31972,     36171,    60868,         3,         8,       777,      1246,       474,       605,     75872,     70183,       431,       168,    569410,    571286,     31493,     33231,    58708,         2,         0
Gd157,     96110,     95341,      5174,      5904,     1212,         0,         0,         6,         8,         4,         5,       667,       721,         6,         6,     90438,     90510,      4942,      5191,     1049,         1,         0
Yb172,    162532,    161469,      8744,      9920,      919,         6,         5,        14,         7,         4,        10,        86,       117,         9,         4,    151341,    152627,      8374,      8968,      865,        10,         6

GLITTER!: Mean Raw CPS background subtracted.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,    870358,    868423,     47360,     53250,    16014,      3138,      4537,     18778,     18662,     19297,      8105,     20629,     20136,      7368,      6439,    826938,    825834,     45919,     48127,    15178,      2997,      4570
B11,    160756,    155492,     14291,     15356,     8866,      8571,      8389,     12358,     11227,      9895,      7068,      8866,      9321,      6664,      7981,    143749,    142135,     12049,     12552,     6244,      5446,      5647
Na23, 179556400, 179529504, 115855800, 128655088, 38038556,     65930,    178256,    316580,    325892,    312817,    163630,   6491730,   7188916,    114141,    210843, 168563264, 168803264, 111968736, 116441336, 35564200,     64706,    168585
Mg24,    377969,    365142,     32802,     36363, 16436038, 251026400, 262736608, 444973216, 449555872, 432664416, 202800096, 125209480, 162826256, 221392864, 331373568,    341643,    338324,     30470,     32461, 15050988, 235892352, 245823280
Mg25,     47713,     46589,      3999,      4366,  2035688,  32942076,  34226376,  59052144,  59116436,  55517460,  26672240,  16333365,  21140574,  28306738,  42239520,     43764,     43885,      3807,      3842,  1881408,  30404352,  32246058
Mg26,     52965,     51701,      4629,      4963,  2296339,  36741516,  37836468,  64851008,  66422768,  61699880,  29732346,  18475112,  23558974,  32082346,  46739024,     47582,     48597,      4220,      4497,  2108703,  34143408,  35940376
Al27,   7032448,   6824905,   4710397,   5263961, 47433040,     42922,     91005,     97930,    127480,     94095,    138020,  12408785,  11574108,     58291,     76445,   6334699,   6281860,   4412219,   4689642, 44306632,     41445,     84642
Si29,   4842481,   4684237,   3200897,   3557542,  3542073,   2695702,   2855370,   5543106,   5385333,   5293422,   2556131,   5442945,   6906361,   2555846,   3811808,   4488324,   4469180,   3086528,   3208137,  3292530,   2556611,   2677921
Si30,   3660865,   3527096,   2492014,   2754261,  2704360,   2203590,   2287521,   4087758,   4037814,   3875088,   2096122,   3975063,   5078831,   2055185,   2966856,   3319285,   3319162,   2381011,   2454943,  2496726,   2045593,   2152780
P31,     41606,     40432,      3202,      3639,   128508,      1815,      2914,     15636,     17592,     16975,      6317,      3361,      4460,      3746,      9686,     38397,     37522,      2806,      3124,   118864,      1408,      2641
Ca43,    121880,    118583,     79299,     89402,    67574,       502,       736,      5515,      3176,      3208,      3601,    364905,    437780,      1908,      2341,    113729,    112220,     75997,     81274,    64390,       495,       709
Ca44,   1953563,   1887746,   1260981,   1427169,  1068343,     15803,     19053,     99027,     62651,     64424,     64749,   5878977,   6942184,     36859,     45101,   1782674,   1798700,   1202506,   1276677,  1010940,     14222,     17667
Sc45,    354415,    344083,     21023,     23272,    23284,      4078,      3500,      7863,      7237,      6645,      3913,     81535,    104410,      3710,      5163,    326954,    330421,     19791,     21015,    22006,      3592,      3068
Ti47,     28145,     27476,      1729,      1887,   779074,       348,      2179,     18477,     14923,     12280,     12983,   1035796,   1074038,      6819,      7888,     26326,     26161,      1539,      1647,   744797,       353,      2132
Ti49,     21799,     21032,      1244,      1355,   598407,       255,      1713,     13912,     11825,      8921,     10361,    796276,    818448,      5053,      6072,     20182,     20033,      1107,      1280,   575296,       248,      1603
V51,    433615,    428695,     23268,     26043,   368252,      2852,      5771,      6146,      8048,      7713,      4147,    149037,    165037,      3179,      5276,    413440,    403880,     22282,     23115,   346061,      2787,      5442
Cr53,     40163,     39139,      2245,      2442,     1280,     12262,     24816,     13242,     43260,     41027,      6205,     21672,     14167,     18185,     30271,     36417,     36499,      2046,      2095,     1190,     11507,     22761
Mn55,    474019,    463115,     25931,     28886,  1489145,   1107131,   1007683,   6961099,   4354962,   4942818,   3172583,   1124267,   1499145,   1735685,   2764406,    428483,    427326,     24614,     25641,  1373617,   1028226,    939163
Co59,    359508,    357525,     19077,     21309,    30215,    122427,    129655,    380323,    335618,    336483,    169350,     41482,     49297,    141933,    236096,    329052,    326580,     17837,     18950,    26823,    114864,    120291
Ni60,     90231,     86571,      4717,      5096,     2094,    567284,    622655,    405658,    615077,    592660,    140668,     22884,     26030,    252075,    438287,     80187,     80888,      4605,      4599,     1869,    527789,    571086
Ni62,     13189,     12740,       683,       797,      392,     84179,     91345,     61022,     88851,     86626,     20902,      3372,      3963,     35877,     61607,     11809,     11910,       635,       682,      394,     76832,     82897
Cu63,    238921,    230246,     12818,     13594,     8707,       475,      2286,       734,      3213,     15999,       559,      1581,      1558,       941,      3358,    215429,    214746,     11596,     12001,     7868,       425,      1990
Zn66,     88776,     84377,      4677,      5168,    30359,     10329,     13114,     60062,     45470,     49988,     27677,      6900,      8253,     17534,     30180,     82629,     82482,      4568,      4634,    27322,      9880,     12096
Zn67,     14122,     13516,       742,       899,     5971,      1478,      1897,      8455,      6521,      7599,      4017,       974,      1200,      2581,      4471,     13118,     12873,       748,       739,     5378,      1485,      1827
Ga69,    427120,    408714,     22329,     24815,    60561,        31,        98,       288,       346,       236,       321,      9348,     10285,        82,       113,    391472,    387306,     21312,     21981,    54036,        31,        88
Sr88,    538994,    524621,     52129,     59330,   310446,         0,         1,       268,       275,       250,       777,    461976,    627418,        25,        24,    505224,    494847,     50322,     52910,   299469,         0,         6
Y89,    440269,    432055,     23101,     26545,    24417,        30,        24,       143,        57,        72,       147,      4163,      4944,       131,        17,    409765,    414823,     22187,     23187,    23917,        15,        54
Zr90,    200616,    197341,     10946,     12421,    64963,        29,        11,       163,       408,       106,      1046,     34855,     51803,      5700,       742,    187974,    188056,     10546,     11153,    62115,        37,        20
Nb93,    392671,    384487,     21163,     23537,     9876,         0,         0,      2850,      2537,       775,      6994,      1434,      1373,        18,         0,    364660,    363077,     19946,     20941,     9200,         3,         2
Ba135,     39821,     38422,      2267,      2488,    54299,         0,         4,       110,        70,        18,       260,        71,        71,         3,         1,     36521,     36883,      2152,      2337,    51897,         0,         0
Ba137,     68502,     66464,      3792,      4277,    93319,         0,         1,       206,       144,        28,       406,        76,       110,         2,         1,     63354,     63409,      3783,      4017,    89976,         0,         0
La139,    455740,    448582,     24174,     26986,    22354,         0,         2,       147,       131,        75,       255,     14617,     14037,         5,        38,    430769,    428954,     23223,     24619,    21490,         0,         0
Ce140,    600748,    588587,     31955,     36169,    60865,         0,         2,       777,      1246,       474,       605,     75869,     70178,       430,       168,    569408,    571262,     31484,     33230,    58707,         0,         0
Gd157,     96105,     95338,      5171,      5901,     1212,         0,         0,         4,         8,         4,         4,       664,       721,         1,         5,     90438,     90505,      4936,      5191,     1049,         1,         0
Yb172,    162530,    161469,      8741,      9919,      919,         6,         4,        13,         4,         0,         8,        86,       117,         1,         4,    151338,    152623,      8371,      8962,      865,         5,         6
GLITTER!: Fractionation%.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,-4.78791,-5.17924,-0.161863,0.222953,-5.46633,5.82027,-11.4271,-3.03915,4.25169,-0.884702,-1.58491,4.46860,4.26635,4.12346,4.15161,-7.09160,-1.81609,-1.16038,1.04666,-1.85571,-2.61785,0.0183488
B11,-6.11767,-6.61116,2.09558,-1.87764,-3.56756,1.18631,-7.54509,-12.2804,-6.97225,-1.60063,-4.54469,-5.76550,-13.2625,-4.98795,-8.36202,-5.09464,-5.87356,1.74469,-1.31585,-4.16260,-3.21572,-1.85863
Na23,-3.39989,-3.94882,-0.451529,0.580263,-1.62461,0.298847,-0.295527,7.88358,11.7316,2.46568,1.75517,5.81138,11.9017,6.11370,9.25715,-2.00589,-2.58448,-2.64601,2.25203,-0.377483,-1.65285,3.59157
Mg24,-6.62638,-4.30620,-0.589004,0.688417,-5.07006,-2.70511,-5.60107,-4.19408,5.02498,6.56114,-3.56767,-1.70712,0.829851,0.662739,5.87611,-3.61656,-3.95500,-2.03407,1.76563,-0.154966,-0.470626,1.16513
Mg25,-6.79518,-5.48017,0.386275,-0.132941,-5.28603,-0.493772,-7.14881,-3.12218,3.29482,2.51809,-1.79611,-1.29121,0.916035,2.35003,0.961627,-3.94567,-5.08786,-2.54640,2.34298,0.383404,1.50672,0.395516
Mg26,-5.51004,-2.16140,-2.99437,3.11574,-5.16255,-1.83063,-5.31964,-3.20750,1.15094,1.01950,-2.59928,-3.32114,-3.56407,-1.41968,-1.20106,-7.38486,-3.50725,-4.31836,3.57613,-5.10154,-5.14459,-4.58266
Al27,-3.12973,-0.667119,-0.0796008,0.132627,-5.73895,2.12045,-6.61736,-2.39528,-1.40638,-1.89213,-9.85342,-4.72345,-6.63319,0.0771317,0.619542,-2.11766,0.709861,-0.768452,0.681176,-0.610164,-2.13529,2.22056
Si29,-3.75003,-2.77569,0.209753,-0.0295861,-2.01572,4.04193e-005,4.04193e-005,1.66800e-005,2.55037e-005,2.54390e-005,3.37730e-005,3.33401e-005,3.98096e-005,2.48896e-005,2.50701e-005,-3.58851,-2.73475,-2.29941,2.00564,1.17434,2.42516e-005,2.42516e-005
Si30,-3.34115,-3.66279,1.06737,-0.845977,-4.30721,0.256572,-2.68171,-7.67545,0.352367,-3.03789,0.332119,-3.57539,3.64515,2.36920,3.10864,-3.53582,-1.74881,-0.887004,0.891833,-2.06996,-2.22095,-0.637181
P31,-2.44114,-6.02052,3.09770,-2.65859,-3.69378,-21.0735,-2.36142,-12.6183,9.30017,2.47032,-13.2245,5.12847,-4.50702,5.27046,-6.47654,-2.64694,-2.21696,1.47488,-1.10371,-4.00124,-1.91780,-12.0561
Ca43,5.72306e-005,4.76922e-005,4.59292e-005,4.59292e-005,6.88938e-005,-27.0753,-13.1227,-8.65794,10.5532,-1.86823,13.8767,-3.89733,-1.14177,3.55886,1.58996,1.90769e-005,2.86153e-005,2.75575e-005,2.75575e-005,1.53097e-005,8.98600,-12.2692
Ca44,-3.24726,-3.71080,1.00314,-0.884232,-5.47372,-0.0223066,-1.85589,-6.98500,4.10239,2.87787,-0.203785,-3.28937,-3.92457,1.64712,0.410037,0.162908,-1.48650,-1.10014,1.04826,1.55554,8.22144,-2.35462
Sc45,-0.964948,-1.11700,1.17217,-0.936387,-1.33612,2.73366,-8.14285,-4.53331,5.18759,5.43279,12.3882,-1.39047,-4.33245,3.40966,5.62010,1.84022,1.13681,-1.45535,1.37537,5.27574,4.49854,13.0303
Ti47,6.33547,7.50881,-4.77311,4.76096,3.31242,17.9394,5.92475,1.30508,7.58162,2.80697,-9.30023,0.872765,-0.569531,3.59536,-0.976165,1.28798,1.27378,-2.93529,2.23241,1.20608,7.53069,-3.07983
Ti49,6.72009,5.26956,-2.30464,2.11303,1.97415,0.512295,-6.34424,-3.22475,3.01394,3.93718,-14.2296,-1.55202,-6.05812,1.87175,-5.89170,-5.12628,-3.76582,1.38378,-1.75431,-5.24482,-9.65167,-4.06664
V51,-3.57736,-5.17909,2.22293,-2.01800,-3.93177,-1.65363,4.39230,0.183752,-3.05955,12.9505,1.71917,0.266282,0.893152,-6.55562,1.53102,-4.35939,-4.72003,-0.560613,0.716190,-0.962210,1.17152,-0.310646
Cr53,-4.23943,-5.02028,-2.97269,2.67824,7.78060,5.25402,-0.242507,-4.06805,12.2502,3.85361,-62.4799,5.32539,8.18117,8.60774,3.37976,-0.130035,-0.910085,1.66777,-1.52839,13.7789,5.19022,7.56597
Mn55,-6.20144,-6.21918,0.135416,-0.0502053,-5.02880,1.35381,-6.51678,1.75997,5.44103,-1.50896,0.564316,-0.749358,-2.06652,1.16207,2.70324,-3.61871,-3.61020,-0.861798,0.824753,-1.57016,1.23402,-1.04190
Co59,-0.361868,-2.22276,-1.13646,1.15658,-0.425438,5.19730,2.20354,3.26642,7.42244,9.91864,5.36002,3.69965,9.12474,6.10685,1.00560,-4.71753,-2.89598,-1.47513,1.24069,-1.11387,3.28059,2.83961
Ni60,0.694928,-2.36912,-1.12185,1.35865,1.04894,7.38672,1.76408,-6.46827,7.37215,1.94225,7.39551,8.49063,9.33626,8.23347,6.36191,-0.193273,-1.57103,-4.85061,4.19769,1.85011,6.65515,5.07571
Ni62,1.68317,1.50703,0.261325,-0.569587,6.84553,11.6040,7.40363,4.09890,15.1009,2.50215,6.76226,11.6044,8.89127,9.08136,4.20492,3.10982,0.670495,3.89743,-3.40187,-4.39935,4.72797,8.08433
Cu63,-0.839145,-1.26794,0.0644462,0.271796,-0.791924,6.31203,2.69455,-0.327666,-7.82859,-14.9768,-2.53924,-14.2923,-24.3670,-5.68637,4.41952,-4.01308,-7.04481,-3.76011,3.32395,3.62500,-12.9537,7.30771
Zn66,-0.612878,0.916593,3.23116,-2.58505,2.19894,6.94175,6.53728,15.7315,15.3337,16.5889,11.8084,6.36619,4.44832,10.2534,12.0929,2.32700,1.27337,-5.26593,4.83434,1.54687,6.64989,7.03636
Zn67,-0.588514,1.21988,0.555331,-0.571751,-0.844983,9.38749,11.9780,11.0343,14.9652,7.41845,12.2273,9.67485,18.5003,3.90827,10.7548,-0.937473,-4.17137,-2.87165,2.70274,0.568806,1.46012,-2.87093
Ga69,-2.50047,1.53499,-1.58511,1.52113,-1.28829,34.3766,29.6976,6.80927,-37.2830,24.7812,2.07659,9.23991,12.2553,8.92386,-15.8712,-2.78693,-1.58091,-0.485264,0.417027,0.977028,11.3480,64.3611
Sr88,-0.895923,-1.24689,-0.414039,0.420301,-3.27854,114.518,-1.70611,-37.1076,-3.14831,41.4145,3.48784,-1.81254,-4.27049,-23.4188,-128.578,1.60356,1.98696,-0.804146,0.720459,1.39693,13.2518,190.906
Y89,-0.612520,-1.82395,0.251584,-0.128601,-0.130399,-17.4032,13.8186,22.7107,39.0061,-15.0051,-38.2298,-3.72568,-6.32953,-145.628,53.7861,0.176981,-1.69040,-2.65698,2.38233,2.46154,41.8884,19.4904
Zr90,0.00783706,-0.521698,-0.346914,0.455894,0.519939,-40.3018,-11.4342,12.0271,-38.4412,75.1817,0.875481,0.969111,-7.54311,45.1606,78.8412,4.00177,3.00429,-2.50206,2.21573,7.72508,-4.86396,53.6751
Nb93,-0.509398,-2.16888,0.818706,-0.621229,-6.01739,-7446.35,-12.6983,-22.2306,-24.9192,47.1089,3.60128,2.14225,-77.3402,-23.0462,6.04622,2.34475,0.599785,-1.80410,1.66892,2.65387,-76.6067,171.924
Ba135,-4.00810,-6.15233,1.55511,-1.11516,-6.16419,4713.63,27.9108,-46.7008,-65.5742,26.5825,5.63817,30.1203,-63.6541,242.155,192.426,-4.43538,-4.08776,-4.07790,3.72911,-1.82706,11.3426,98.3566
Ba137,-8.87852,-6.98430,2.56491,-2.34955,-5.70054,-33.4740,-317.871,-4.36898,-14.4303,87.1104,-2.59685,-40.5188,-27.9138,202.140,196.731,-0.511312,-1.73549,-0.209515,0.384321,5.30687,18.5430,-NaN
La139,-0.394900,0.877296,-1.36924,1.51343,-3.33537,-NaN,-194.387,-45.0240,-87.8400,-21.9535,-7.77350,-8.80357,-8.64297,-190.340,53.7598,-1.81619,-3.48367,-3.80598,3.30536,1.99614,-16.3134,31.1799
Ce140,-2.52851,-1.28903,1.28422,-1.22410,-3.68574,17.9438,-70.6866,-129.093,-118.280,-40.5124,-8.11276,-5.64653,-0.472420,-71.6706,-66.8357,-2.14691,-2.39317,0.215726,-0.0606407,0.575077,892.498,-NaN
Gd157,-2.19770,-2.17893,-2.44226,2.44384,-4.01446,10.2539,365.973,155.201,70.5780,-91.2335,151.615,5.59438,7.97049,-264.062,85.2344,2.69254,2.23389,-2.19246,1.80617,7.47291,8.72239,-238.074
Yb172,0.155911,-0.230485,0.0133968,0.0962496,3.47856,76.7561,37.1551,87.7724,-224.634,-2407.57,124.314,-10.4955,-10.3357,-535.034,-187.148,1.84301,-0.599923,-1.91521,1.70369,15.9899,285.225,-57.1010
GLITTER!: Fractionation/Uncertainty.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,-1.49245,-1.61655,-0.0499946,0.0689660,-1.63771,1.29075,-2.91536,-0.937589,1.31772,-0.271161,-0.444975,1.38463,1.31483,1.15421,1.09793,-2.06656,-0.523846,-0.328096,0.292882,-0.500440,-0.553311,0.00449425
B11,-1.58232,-1.71193,0.531711,-0.475266,-0.882311,0.335489,-2.11159,-3.42499,-1.93351,-0.431361,-1.18862,-1.53767,-3.48272,-1.26463,-2.07340,-1.02429,-1.14371,0.324926,-0.237255,-0.716128,-0.702749,-0.396521
Na23,-0.986571,-1.14905,-0.131261,0.168640,-0.470008,0.0980013,-0.0980285,2.61838,3.89834,0.818691,0.581058,1.93471,3.96228,2.02077,3.06885,-0.509230,-0.643864,-0.645667,0.538785,-0.0884028,-0.541421,1.19048
Mg24,-2.00928,-1.30635,-0.175760,0.205806,-1.53268,-0.818912,-1.68741,-1.25590,1.49374,1.93373,-1.04121,-0.492978,0.236836,0.186722,1.63314,-1.04861,-1.13902,-0.572686,0.493958,-0.0435643,-0.118740,0.288725
Mg25,-1.50840,-1.22339,0.0827278,-0.0285063,-1.17181,-0.142905,-2.05448,-0.889424,0.928758,0.701170,-0.493248,-0.349322,0.243786,0.614439,0.246786,-0.659406,-0.821668,-0.388440,0.345763,0.0558854,0.340477,0.0873582
Mg26,-1.36981,-0.539616,-0.692873,0.722990,-1.28263,-0.482563,-1.38749,-0.825647,0.291672,0.253779,-0.634230,-0.793118,-0.831624,-0.323212,-0.266525,-1.46017,-0.673706,-0.768366,0.621001,-0.896854,-0.965992,-0.836082
Al27,-0.924885,-0.197125,-0.0234689,0.0391151,-1.68872,0.635343,-1.98888,-0.714598,-0.418104,-0.556069,-2.87990,-1.37449,-1.90965,0.0217556,0.172559,-0.615162,0.205716,-0.221734,0.196087,-0.174918,-0.544048,0.559104
Si29,-0.800336,-0.593207,0.0447980,-0.00631739,-0.429317,1.27765e-005,1.27763e-005,5.27303e-006,8.06286e-006,8.04167e-006,1.06729e-005,1.05409e-005,1.25868e-005,7.86696e-006,7.92423e-006,-0.709029,-0.534176,-0.443412,0.381997,0.220645,7.66570e-006,7.66571e-006
Si30,-0.735071,-0.807468,0.235111,-0.186170,-0.944027,0.0813406,-0.849606,-2.43024,0.111465,-0.959721,0.104725,-1.12651,1.14663,0.743462,0.973665,-0.681983,-0.331200,-0.164707,0.162432,-0.369356,-0.684846,-0.195865
P31,-0.338488,-0.832571,0.373814,-0.328955,-0.505154,-2.44536,-0.345704,-2.24366,1.62571,0.418637,-2.06763,0.720100,-0.645550,0.708918,-0.919003,-0.325811,-0.269178,0.156228,-0.118447,-0.465511,-0.161219,-1.20912
Ca43,1.79379e-005,1.49476e-005,1.43316e-005,1.43533e-005,2.14416e-005,-3.51012,-2.21511,-2.19451,2.52625,-0.427595,3.25701,-1.06379,-0.307001,0.754204,0.331043,5.97559e-006,8.96219e-006,8.59426e-006,8.59935e-006,4.76099e-006,1.13266,-1.82946
Ca44,-1.02408,-1.17039,0.315638,-0.278415,-1.71918,-0.00618336,-0.518873,-2.02773,1.17682,0.815149,-0.0571609,-0.923082,-1.08638,0.441103,0.108092,0.0507220,-0.461905,-0.340386,0.323724,0.478410,1.88325,-0.536143
Sc45,-0.294718,-0.341479,0.352157,-0.281878,-0.400878,0.768659,-2.22457,-1.29782,1.48980,1.51131,3.25124,-0.414606,-1.28119,0.895480,1.47855,0.529314,0.324025,-0.404417,0.378766,1.43729,1.10461,3.09619
Ti47,1.80664,2.14419,-1.18474,1.18996,0.947981,2.74568,1.46472,0.354563,2.03556,0.733430,-2.40590,0.228460,-0.146255,0.872005,-0.230338,0.320586,0.311063,-0.624643,0.471423,0.278419,1.08232,-0.593018
Ti49,1.24859,0.986368,-0.395380,0.363637,0.367373,0.0589508,-0.924126,-0.477803,0.433376,0.544188,-1.90261,-0.201574,-0.755890,0.221609,-0.668692,-0.683441,-0.483234,0.163100,-0.200953,-0.601952,-0.770670,-0.346360
V51,-1.03616,-1.50336,0.636704,-0.578567,-1.13426,-0.480838,1.34560,0.0550144,-0.946796,3.91936,0.494311,0.0869178,0.291152,-1.88856,0.448398,-1.11686,-1.18828,-0.137158,0.172098,-0.228547,0.332306,-0.0929103
Cr53,-1.05241,-1.25040,-0.669534,0.607319,1.58926,1.58964,-0.0740516,-1.20533,3.72109,1.15815,-17.4519,1.57261,2.37265,2.48088,0.966466,-0.0250973,-0.170198,0.284193,-0.253135,2.10520,1.35718,1.96891
Mn55,-1.83689,-1.84545,0.0395424,-0.0146837,-1.48411,0.448520,-2.15840,0.583005,1.80184,-0.499491,0.186679,-0.247800,-0.683072,0.383832,0.892362,-0.961780,-0.944588,-0.218937,0.206243,-0.389791,0.405298,-0.341833
Co59,-0.114590,-0.703962,-0.352916,0.360057,-0.132719,1.59027,0.671267,0.991177,2.23802,2.96677,1.58727,1.08031,2.63923,1.75318,0.285288,-1.46689,-0.897974,-0.447191,0.375374,-0.337116,0.852229,0.725651
