GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-04-20 EMP UPDATED Windows reselected- Do not edit pre 29.09.17 612 standard\run3.b
Created: Fri Sep 29 18:23:58 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03,FS4-1,FS4-2,FS4-3,FS4-4,FS4-5,FS4-6,FS4-7,FS4-8,FS4-9,FS4-10,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04
V51,463.92,461.56,38.09,39.86,443.46,3.19,6.09,11.55,12.18,3.88,3.86,12.12,4.66,4.67,6.28,5.75,5.83,461.55,461.28,38.41,39.17,454.17,3.29,6.50
Cr53,417.22,424.60,36.48,36.24,15.40,139.28,270.37,354.03,377.24,204.05,201.82,375.69,269.22,264.81,230.25,107.83,107.88,410.13,403.34,37.08,35.70,14.80,138.58,263.90
Mn55,442.30,439.96,38.13,39.56,1590.33,1096.28,975.17,1048.17,1093.00,1051.02,1092.34,1153.75,1211.78,1198.96,941.62,1058.96,1041.48,439.51,443.66,38.38,39.01,1602.12,1138.86,987.15
Co59,422.81,418.98,34.80,36.57,39.84,152.27,156.15,161.33,174.06,155.86,159.88,173.35,167.85,168.90,157.07,156.25,152.48,428.72,426.19,34.97,36.04,41.09,157.55,162.15
Ni60,461.43,462.08,38.70,39.00,12.94,3182.65,3316.17,3247.12,3385.55,3552.21,3486.41,3392.59,3575.73,3599.19,3010.93,3200.58,3094.55,459.86,466.26,37.89,39.81,12.80,3220.07,3401.80
Ni62,478.90,480.11,39.27,38.32,17.73,3279.39,3451.17,3328.11,3473.50,3715.68,3706.72,3560.31,3743.99,3749.44,3139.84,3266.30,3177.39,471.03,471.59,36.81,41.28,17.16,3264.29,3333.00
Cu63,451.10,448.75,37.54,38.17,18.95,0.869,4.45,8.17,8.81,0.669,0.591,8.79,0.826,0.875,2.365,2.75,2.43,456.75,457.26,37.69,37.90,19.41,0.953,4.36
Zn66,447.61,454.33,39.27,38.87,178.84,56.82,68.67,89.80,95.43,59.72,59.93,93.59,70.09,74.42,77.36,100.81,95.60,457.18,466.73,39.13,39.08,182.59,60.09,69.96
Zn67,462.50,478.37,38.84,39.47,225.80,53.19,65.26,83.35,88.78,56.87,55.94,88.25,66.07,67.20,67.65,92.77,87.98,458.04,456.74,39.15,39.03,220.26,55.21,62.85
Ga69,439.75,445.27,36.18,37.96,78.98,<0.0585,0.1055,0.256,0.291,0.0201,<0.0221,0.275,0.0824,0.0698,0.1191,0.1519,0.1621,434.65,437.62,36.79,36.97,74.71,0.0409,0.095
